,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
147,No account,12,critical account/other credits existing (not at this bank),car (new),682,100-500,4-7 yrs,4,none,3,car or other,51,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
148,<0,36,critical account/other credits existing (not at this bank),furniture/equipment,5371,<100,1-4 yrs,3,guarantor,2,savings agreement/life insurance,28,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
149,No account,18,critical account/other credits existing (not at this bank),radio/television,1582,>=1000,>7 yrs,4,none,4,car or other,46,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
150,No account,6,existing credits paid back duly till now,radio/television,1346,100-500,>7 yrs,2,none,4,unknown/no property,42,bank,free,1,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
151,No account,10,existing credits paid back duly till now,radio/television,1924,<100,1-4 yrs,1,none,4,savings agreement/life insurance,38,none,rent,1,skilled employee / official,1,"yes, registered",no,good,single,male,2,1
152,>=200,36,existing credits paid back duly till now,radio/television,5848,<100,1-4 yrs,4,none,1,car or other,24,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
153,0-200,24,critical account/other credits existing (not at this bank),car (used),7758,>=1000,>7 yrs,2,none,4,unknown/no property,29,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,4,1
154,0-200,24,delay in paying off in the past,business,6967,100-500,4-7 yrs,4,none,4,car or other,36,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,3,1
155,<0,12,existing credits paid back duly till now,furniture/equipment,1282,<100,1-4 yrs,2,none,4,car or other,20,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
156,<0,9,critical account/other credits existing (not at this bank),repairs,1288,100-500,>7 yrs,3,guarantor,4,real estate,48,none,rent,2,skilled employee / official,2,none,no,good,single,male,4,1
157,<0,12,all credits at this bank paid back duly,retraining,339,<100,>7 yrs,4,none,1,car or other,45,bank,rent,1,unskilled - resident,1,none,yes,good,married/widowed,male,4,1
158,0-200,24,existing credits paid back duly till now,car (new),3512,100-500,4-7 yrs,2,none,3,car or other,38,bank,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
159,No account,6,critical account/other credits existing (not at this bank),radio/television,1898,unknown/no savings account,1-4 yrs,1,none,2,real estate,34,none,rent,2,unskilled - resident,2,none,yes,good,single,male,2,1
160,No account,24,critical account/other credits existing (not at this bank),radio/television,2872,100-500,>7 yrs,3,none,4,real estate,36,none,rent,1,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
161,No account,18,critical account/other credits existing (not at this bank),car (new),1055,<100,<1 yr,4,none,1,savings agreement/life insurance,30,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
162,No account,15,existing credits paid back duly till now,domestic appliances,1262,500-1000,4-7 yrs,4,none,3,savings agreement/life insurance,36,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
163,0-200,10,existing credits paid back duly till now,car (new),7308,<100,unemployed,2,none,4,unknown/no property,70,bank,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
164,No account,36,existing credits paid back duly till now,car (new),909,500-1000,>7 yrs,4,none,4,savings agreement/life insurance,36,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
165,No account,6,existing credits paid back duly till now,furniture/equipment,2978,500-1000,1-4 yrs,1,none,2,car or other,32,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
166,<0,18,existing credits paid back duly till now,furniture/equipment,1131,<100,unemployed,4,none,2,car or other,33,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,0,0
167,0-200,11,existing credits paid back duly till now,furniture/equipment,1577,>=1000,<1 yr,4,none,1,real estate,20,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
168,No account,24,existing credits paid back duly till now,furniture/equipment,3972,<100,4-7 yrs,2,none,4,savings agreement/life insurance,25,none,own,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
169,0-200,24,critical account/other credits existing (not at this bank),business,1935,<100,>7 yrs,4,none,4,real estate,31,none,rent,2,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated,male,4,0
170,<0,15,no credits taken / paid back duly,car (new),950,<100,>7 yrs,4,none,3,car or other,33,none,own,2,skilled employee / official,2,none,yes,bad,single,male,4,0
171,No account,12,existing credits paid back duly till now,furniture/equipment,763,<100,1-4 yrs,4,none,1,real estate,26,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
172,0-200,24,delay in paying off in the past,furniture/equipment,2064,<100,unemployed,3,none,2,savings agreement/life insurance,34,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,0,0
173,0-200,8,existing credits paid back duly till now,radio/television,1414,<100,1-4 yrs,4,guarantor,2,real estate,33,none,rent,1,skilled employee / official,1,none,no,good,single,male,2,1
174,<0,21,delay in paying off in the past,education,3414,<100,<1 yr,2,none,1,savings agreement/life insurance,26,none,rent,2,skilled employee / official,1,none,yes,bad,single,male,1,0
175,No account,30,all credits at this bank paid back duly,car (used),7485,unknown/no savings account,unemployed,4,none,1,real estate,53,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,0,0
176,<0,12,existing credits paid back duly till now,furniture/equipment,2577,<100,1-4 yrs,2,none,1,car or other,42,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated,male,2,1
177,<0,6,critical account/other credits existing (not at this bank),radio/television,338,500-1000,>7 yrs,4,none,4,car or other,52,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
178,No account,12,existing credits paid back duly till now,radio/television,1963,<100,4-7 yrs,4,none,2,car or other,31,none,own,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,3,1
179,<0,21,critical account/other credits existing (not at this bank),car (new),571,<100,>7 yrs,4,none,4,real estate,65,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
180,No account,36,delay in paying off in the past,business,9572,<100,<1 yr,1,none,1,car or other,28,none,rent,2,skilled employee / official,1,none,yes,bad,divorced/separated,male,1,0
181,0-200,36,delay in paying off in the past,business,4455,<100,1-4 yrs,2,none,2,real estate,30,stores,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated,male,2,0
182,<0,21,all credits at this bank paid back duly,car (new),1647,unknown/no savings account,1-4 yrs,4,none,2,savings agreement/life insurance,40,none,rent,2,unskilled - resident,2,none,yes,bad,single,male,2,0
183,No account,24,critical account/other credits existing (not at this bank),furniture/equipment,3777,>=1000,1-4 yrs,4,none,4,real estate,50,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
184,0-200,18,critical account/other credits existing (not at this bank),car (new),884,<100,>7 yrs,4,none,4,car or other,36,bank,rent,1,skilled employee / official,2,"yes, registered",yes,bad,single,male,4,0
185,No account,15,critical account/other credits existing (not at this bank),radio/television,1360,<100,1-4 yrs,4,none,2,savings agreement/life insurance,31,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
186,0-200,9,all credits at this bank paid back duly,car (used),5129,<100,>7 yrs,2,none,4,unknown/no property,74,bank,free,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,bad,divorced/separated/married,female,4,0
187,0-200,16,critical account/other credits existing (not at this bank),car (new),1175,<100,unemployed,2,none,3,car or other,68,none,free,3,unemployed/ unskilled - non-resident,1,"yes, registered",yes,good,single,male,0,1
188,<0,12,existing credits paid back duly till now,radio/television,674,100-500,4-7 yrs,4,none,1,savings agreement/life insurance,20,none,rent,1,skilled employee / official,1,none,yes,bad,married/widowed,male,3,0
189,0-200,18,no credits taken / paid back duly,furniture/equipment,3244,<100,1-4 yrs,1,none,4,car or other,33,bank,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
190,No account,24,existing credits paid back duly till now,business,4591,>=1000,1-4 yrs,2,none,3,savings agreement/life insurance,54,none,rent,3,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,2,0
191,0-200,48,no credits taken / paid back duly,business,3844,100-500,4-7 yrs,4,none,4,unknown/no property,34,none,free,1,unskilled - resident,2,none,yes,bad,single,male,3,0
192,0-200,27,existing credits paid back duly till now,business,3915,<100,1-4 yrs,4,none,2,car or other,36,none,rent,1,skilled employee / official,2,"yes, registered",yes,bad,single,male,2,0
193,No account,6,existing credits paid back duly till now,radio/television,2108,<100,4-7 yrs,2,none,2,real estate,29,none,own,1,skilled employee / official,1,none,yes,good,married/widowed,male,3,1
194,0-200,45,existing credits paid back duly till now,radio/television,3031,100-500,1-4 yrs,4,guarantor,4,savings agreement/life insurance,21,none,own,1,skilled employee / official,1,none,yes,bad,single,male,2,0
195,0-200,9,critical account/other credits existing (not at this bank),education,1501,<100,>7 yrs,2,none,3,car or other,34,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,4,0
196,No account,6,critical account/other credits existing (not at this bank),radio/television,1382,<100,1-4 yrs,1,none,1,car or other,28,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
197,0-200,12,existing credits paid back duly till now,furniture/equipment,951,100-500,<1 yr,4,none,4,car or other,27,bank,own,4,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
198,0-200,24,existing credits paid back duly till now,car (used),2760,unknown/no savings account,>7 yrs,4,none,4,unknown/no property,36,bank,free,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
199,0-200,18,delay in paying off in the past,furniture/equipment,4297,<100,>7 yrs,4,none,3,unknown/no property,40,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated,male,4,0
200,No account,9,critical account/other credits existing (not at this bank),education,936,500-1000,>7 yrs,4,none,2,car or other,52,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
201,<0,12,existing credits paid back duly till now,car (new),1168,<100,1-4 yrs,4,none,3,real estate,27,none,rent,1,unskilled - resident,1,none,yes,good,married/widowed,male,2,1
202,No account,27,delay in paying off in the past,business,5117,<100,4-7 yrs,3,none,4,car or other,26,none,rent,2,skilled employee / official,1,none,yes,good,single,male,3,1
203,<0,12,existing credits paid back duly till now,retraining,902,<100,4-7 yrs,4,none,4,savings agreement/life insurance,21,none,own,1,skilled employee / official,1,none,yes,bad,married/widowed,male,3,0
204,No account,12,critical account/other credits existing (not at this bank),car (new),1495,<100,>7 yrs,4,none,1,real estate,38,none,rent,2,unskilled - resident,2,none,yes,good,single,male,4,1
205,<0,30,critical account/other credits existing (not at this bank),car (used),10623,<100,>7 yrs,3,none,4,unknown/no property,38,none,free,3,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,4,1
206,No account,12,critical account/other credits existing (not at this bank),furniture/equipment,1935,<100,>7 yrs,4,none,4,real estate,43,none,rent,3,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
207,0-200,12,critical account/other credits existing (not at this bank),domestic appliances,1424,<100,4-7 yrs,4,none,3,savings agreement/life insurance,26,none,rent,1,skilled employee / official,1,none,yes,good,single,male,3,1
